Population_Cluster_Index,Total_Population,Elderly_Rate,Latitude,Longitude
1,5214,0.147,39.339832,-76.678048
2,1137,0.114,39.307732,-76.588412
3,1704,0.124,39.315856,-76.590156
4,1543,0.196,39.325366,-76.657516
5,4790,0.188,39.33939,-76.609551
6,2452,0.123,39.307355,-76.598183
7,4101,0.087,39.319305,-76.702414
8,2748,0.108,39.343174,-76.640218
9,5192,0.299,39.333934,-76.62376
10,3586,0.087,39.330953,-76.625913
11,2126,0.12,39.301682,-76.59937
12,3223,0.047,39.304408,-76.611384
13,4420,0.133,39.370306,-76.529787
14,1764,0.091,39.344439,-76.55939
15,5412,0.104,39.350551,-76.535498
16,2476,0.074,39.323116,-76.62008
17,6103,0.137,39.365014,-76.609964
18,5072,0.161,39.305697,-76.614632
19,4132,0.145,39.353668,-76.598368
20,2267,0.14,39.286405,-76.686756
21,2804,0.104,39.371678,-76.597049
22,2830,0.091,39.326705,-76.536023
23,4763,0.101,39.335698,-76.530002
24,4911,0.101,39.335246,-76.52968
25,3073,0.125,39.319413,-76.60541
26,4203,0.167,39.334103,-76.595317
27,4051,0.085,39.372105,-76.581956
28,1313,0.059,39.315491,-76.609524
29,3243,0.16,39.338443,-76.577348
30,2298,0.106,39.344253,-76.599868
31,2775,0.057,39.310847,-76.624088
32,4974,0.169,39.308958,-76.620353
33,4605,0.104,39.355997,-76.558319
34,2583,0.041,39.367358,-76.56402
35,2613,0.114,39.316726,-76.630055
36,6268,0.163,39.368602,-76.57358
37,4828,0.169,39.328837,-76.687421
38,2282,0.127,39.313016,-76.689563
39,1955,0.097,39.332535,-76.635445
40,2046,0.152,39.346169,-76.610062
41,4525,0.041,39.353117,-76.623502
42,4223,0.135,39.3241,-76.671499
43,3148,0.156,39.349612,-76.563741
44,1602,0.081,39.294915,-76.620424
45,1964,0.084,39.326054,-76.594115
46,3145,0.108,39.304236,-76.620712
47,3402,0.133,39.325935,-76.585418
48,3552,0.084,39.322825,-76.609468
49,1751,0.062,39.30481,-76.608786
50,2269,0.111,39.314961,-76.640124
51,3269,0.153,39.315943,-76.615289
52,2767,0.13,39.298207,-76.599141
53,3724,0.128,39.312898,-76.645876
54,3253,0.057,39.291955,-76.569385
55,5073,0.1,39.281454,-76.693335
56,2870,0.101,39.282175,-76.57698
57,2324,0.116,39.269965,-76.637548
58,778,0.095,39.315181,-76.549101
59,4619,0.186,39.285805,-76.672685
60,5817,0.141,39.371759,-76.678147
61,3782,0.064,39.296879,-76.578653
62,6045,0.209,39.341355,-76.682987
63,4215,0.15,39.330302,-76.654327
64,2652,0.089,39.280693,-76.562477
65,1691,0.103,39.285673,-76.650305
66,1951,0.08,39.278406,-76.568893
67,3142,0.086,39.279489,-76.646426
68,4050,0.249,39.275353,-76.671553
69,4933,0.067,39.321276,-76.560544
70,2713,0.109,39.287403,-76.662835
71,1431,0.196,39.334005,-76.644091
72,2333,0.086,39.366655,-76.562077
73,977,0.168,39.288685,-76.635303
74,1895,0.095,39.288535,-76.638909
75,4952,0.12,39.354022,-76.595733
76,2969,0.165,39.293382,-76.658579
77,2359,0.157,39.312065,-76.6743
78,3229,0.109,39.353231,-76.542708
79,2590,0.123,39.276101,-76.657416
80,1696,0.163,39.322074,-76.664773
81,6572,0.187,39.332716,-76.66579
82,4006,0.027,39.294402,-76.610974
83,1698,0.091,39.331044,-76.561677
84,1914,0.092,39.342455,-76.568488
85,1920,0.064,39.284558,-76.637937
86,4183,0.137,39.361427,-76.646314
87,2130,0.061,39.278729,-76.619083
88,1909,0.055,39.288345,-76.627965
89,2200,0.094,39.288978,-76.628048
90,3211,0.071,39.303432,-76.63739
91,1836,0.054,39.279823,-76.646728
92,1846,0.115,39.288193,-76.645907
93,3149,0.111,39.320798,-76.591105
94,2586,0.09,39.280505,-76.641392
95,1586,0.071,39.319515,-76.606758
96,1426,0.154,39.28486,-76.672275
97,3718,0.189,39.722197,-78.342731
98,4564,0.134,39.722835,-78.633776
99,2965,0.216,39.643926,-78.734954
100,2780,0.218,39.722766,-78.706359
101,4818,0.205,39.695098,-78.825706
102,2213,0.143,39.647877,-78.758337
103,2734,0.183,39.636379,-78.717422
104,3387,0.21,39.627136,-78.738489
105,2055,0.198,39.722301,-78.743209
106,2547,0.185,39.65604,-78.761029
107,1493,0.224,39.650545,-78.764296
108,3164,0.181,39.669698,-78.787892
109,1766,0.232,39.722818,-78.9031
110,5268,0.076,39.63724,-78.796274
111,3466,0.21,39.557176,-78.925027
112,3874,0.238,39.513802,-78.962685
113,5468,0.078,39.215913,-76.558607
114,3565,0.15,39.301837,-76.69471
115,3281,0.142,39.293875,-76.681631
116,3045,0.163,39.302276,-76.674145
117,2898,0.119,39.363754,-76.553001
118,4025,0.182,39.282967,-76.604349
119,2430,0.105,39.269517,-76.633321
120,4361,0.113,39.356055,-76.52978
121,3065,0.05,39.291131,-76.593916
122,2087,0.058,39.285721,-76.590764
123,22,0.182,39.232078,-76.581969
124,2564,0.096,39.279283,-76.604292
125,3344,0.165,39.324247,-76.68173
126,3344,0.094,39.283246,-76.587173
127,3749,0.085,39.337503,-76.552585
128,2059,0.085,39.258569,-76.629256
129,4110,0.218,39.670493,-78.790928
130,5552,0.184,39.595782,-78.834446
131,2623,0.177,39.633506,-78.933154
132,1968,0.179,39.722857,-78.815314
133,5411,0.077,39.656016,-78.925551
134,3022,0.211,39.675926,-78.709064
135,1589,0.182,39.670286,-78.789614
136,2342,0.088,39.284929,-76.599201
137,3626,0.067,39.271826,-76.693441
138,1574,0.241,39.298471,-76.686235
139,2508,0.085,39.319238,-76.572213
140,838,0.011,39.286238,-76.622635
141,2282,0.08,39.283971,-76.679683
142,4603,0.079,39.345057,-76.580744
143,3265,0.055,39.29215,-76.578275
144,2647,0.105,39.290461,-76.56266
145,2525,0.106,39.293859,-76.646277
146,3226,0.126,39.355933,-76.702043
147,3823,0.081,39.239004,-76.595615
148,2571,0.084,39.269892,-76.600375
149,2910,0.07,39.275505,-76.685392
150,4689,0.073,39.246642,-76.631482
151,2141,0.066,39.272838,-76.608788
152,2993,0.117,39.344917,-76.67189
153,3222,0.048,39.292366,-76.572632
154,2208,0.072,39.283691,-76.577065
